horizon,mse,rmse,mae,mape,mdape,smape,coverage
9 days,2.114949981055047,1.4542867602557095,1.101936331003476,0.24098135651608757,0.10667701370219605,0.1861157327875753,0.78125
10 days,2.158853585625745,1.4693037758155203,1.1376296480953618,0.24828655142008554,0.11873131084749548,0.19247467514701702,0.7916666666666666
11 days,2.2095818338282633,1.486466223574644,1.1814176330341128,0.24627972663991887,0.1223817811515513,0.19509476975314338,0.7890625
12 days,2.002033495462616,1.414932328934008,1.146042552799803,0.217018538424791,0.13338577182019312,0.18139385362548824,0.8046875
13 days,1.5436785209482202,1.2424485989159553,1.0165751183824963,0.16799419427500267,0.11873131084749548,0.15485210293366633,0.84375
14 days,1.3057691789386388,1.1427025767620544,0.93663608042049,0.14644064583117553,0.11873131084749548,0.1396718261190005,0.8671875
15 days,1.3472920541798483,1.1607291045630967,0.9730968364674037,0.1459536056708908,0.11841345913819432,0.14240821239966384,0.875
16 days,1.4526443535333784,1.2052569657684533,1.0186388712605439,0.16344754586393492,0.13025953265376286,0.15429092026319943,0.8671875
17 days,1.3399328573414828,1.157554688704375,0.9642757739715876,0.15435568679948058,0.11593377583811167,0.1456540800960328,0.875
18 days,1.305571863078777,1.142616236134765,0.9517337966756108,0.14950407600555604,0.10879667480730354,0.14210308209388597,0.875
19 days,1.2114685884924112,1.1006673377966711,0.8807452784056482,0.1377935489151456,0.095188913217451,0.13119007128106888,0.875
20 days,1.2072352083142999,1.0987425577970027,0.8810594276804204,0.13474024820139036,0.095188913217451,0.12959951487965524,0.875
21 days,1.2085524578093894,1.0993418293730979,0.8463119242442575,0.1308807406659627,0.07304294968707617,0.12503690831632897,0.8828125
22 days,1.1113825430888415,1.0542212970191986,0.8231705881370522,0.13000957947897193,0.07458494840189356,0.12375449770870338,0.9166666666666666
23 days,1.1488155879561681,1.071828152250242,0.8428887494051042,0.1348208538501209,0.07458494840189356,0.1275943339881657,0.90625
24 days,1.160326667693022,1.0771846024210623,0.8371524331696437,0.13901797985626507,0.07304294968707617,0.12912138116036315,0.875
25 days,0.981104382884725,0.9905071341917356,0.7442967619436125,0.12117169022014351,0.06996947718547464,0.11358850494251196,0.890625
26 days,1.009299842199855,1.004639160196264,0.7520736331119328,0.11714349590485236,0.06936242911231968,0.11209743608684065,0.90625
27 days,1.0658430408156327,1.0323967458373902,0.7906700056706761,0.12373552080305757,0.07176319705116911,0.11822908589438465,0.90625
28 days,1.5653964230828987,1.2511580328171572,0.9592860431059826,0.1574354980006725,0.09762605507270056,0.14599944719803296,0.84375
29 days,1.5618185894975287,1.2497274060760326,0.9772879601856161,0.15966720536489742,0.10621637533090922,0.1492865370920544,0.8515625
30 days,1.3626983661068366,1.1673467206048238,0.9115634478460897,0.14891879644367037,0.10147750452363964,0.13924092592566126,0.875
31 days,1.4240601016713659,1.1933398936059105,0.9375136597571574,0.1512523683574239,0.1073931512328385,0.14151857867600953,0.8515625
